"cell_id","lat_cell","long_cell","sum_cost","num_events"
770070,39.2065010078624,-84.5415295885207,70.574,7
780023,39.1007508680328,-84.5437888017975,142.251,15
780024,39.1030008700974,-84.5437888017965,61.241,9
780025,39.1052508721612,-84.5437888017954,20.164,2
780026,39.1075008742242,-84.5437888017943,20.164,2
780029,39.1142508804087,-84.5437888017912,10.082,1
780031,39.1187508845277,-84.543788801789,61.595,7
780032,39.1210008865861,-84.543788801788,255.168,30
780033,39.1232508886437,-84.5437888017869,2075.945,240
780034,39.1255008907005,-84.5437888017859,1932.919,227
780035,39.1277508927566,-84.5437888017848,236.107,29
780036,39.1300008948118,-84.5437888017838,369.47,48
780037,39.1322508968663,-84.5437888017827,60.492,6
780038,39.13450089892,-84.5437888017816,12.288,3
780039,39.136750900973,-84.5437888017806,10.128,2
780040,39.1390009030251,-84.5437888017796,0.141,1
780041,39.1412509050765,-84.5437888017785,10.082,1
780042,39.1435009071271,-84.5437888017774,20.164,2
780043,39.1457509091769,-84.5437888017764,30.246,3
780044,39.148000911226,-84.5437888017753,80.656,8
780045,39.1502509132743,-84.5437888017743,60.492,6
780046,39.1525009153218,-84.5437888017732,203.047,22
780047,39.1547509173685,-84.5437888017721,1881.913,224
780048,39.1570009194145,-84.5437888017711,870.135,128
780049,39.1592509214596,-84.54378880177,500.445,57
780050,39.161500923504,-84.5437888017689,404.029,43
780051,39.1637509255476,-84.5437888017679,113.108,13
780052,39.1660009275905,-84.5437888017668,51.513,6
780053,39.1682509296325,-84.5437888017658,142.533,17
780054,39.1705009316738,-84.5437888017647,573.67,68
780055,39.1727509337143,-84.5437888017637,719.993,80
780056,39.1750009357541,-84.5437888017626,407.147,48
780057,39.177250937793,-84.5437888017616,552.149,61
780058,39.1795009398312,-84.5437888017605,928.046,117
780059,39.1817509418686,-84.5437888017594,570.311,68
780060,39.1840009439052,-84.5437888017584,409.585,55
780061,39.1862509459411,-84.5437888017573,380.818,50
780062,39.1885009479762,-84.5437888017562,153.549,20
780063,39.1907509500105,-84.5437888017552,71.677,8
780064,39.193000952044,-84.5437888017541,120.984,12
780065,39.1952509540767,-84.5437888017531,235.004,28
780066,39.1975009561087,-84.543788801752,294.584,31
780067,39.1997509581399,-84.5437888017509,282.6,29
780068,39.2020009601703,-84.5437888017499,399.766,48
780069,39.2042509621999,-84.5437888017488,111.347,13
780070,39.2065009642288,-84.5437888017478,70.574,7
780071,39.2087509662569,-84.5437888017467,30.246,3
